t,Location,Velocity,Acceleration
0.0,0.0,0.0,-2.0
0.01,-1.0E-4,-0.02,-2.0
0.02,-4.0E-4,-0.04,-2.0
0.03,-9.0E-4,-0.06,-2.0
0.04,-0.0016,-0.08,-2.0
0.05,-0.0025000000000000005,-0.1,-2.0
0.060000000000000005,-0.0036000000000000008,-0.12000000000000001,-2.0
0.07,-0.004900000000000001,-0.14,-2.0
0.08,-0.0064,-0.16,-2.0
0.09,-0.0081,-0.18,-2.0
0.09999999999999999,-0.009999999999999998,-0.19999999999999998,-2.0
0.10999999999999999,-0.012099999999999998,-0.21999999999999997,-2.0
0.11999999999999998,-0.014399999999999996,-0.23999999999999996,-2.0
0.12999999999999998,-0.016899999999999995,-0.25999999999999995,-2.0
0.13999999999999999,-0.019599999999999996,-0.27999999999999997,-2.0
0.15,-0.0225,-0.3,-2.0
0.16,-0.0256,-0.32,-2.0
0.17,-0.028900000000000006,-0.34,-2.0
0.18000000000000002,-0.032400000000000005,-0.36000000000000004,-2.0
0.19000000000000003,-0.036100000000000014,-0.38000000000000006,-2.0
0.20000000000000004,-0.040000000000000015,-0.4000000000000001,-2.0
0.21000000000000005,-0.04410000000000002,-0.4200000000000001,-2.0
0.22000000000000006,-0.048400000000000026,-0.4400000000000001,-2.0
0.23000000000000007,-0.05290000000000003,-0.46000000000000013,-2.0
0.24000000000000007,-0.05760000000000003,-0.48000000000000015,-2.0
0.25000000000000006,-0.06250000000000003,-0.5000000000000001,-2.0
0.26000000000000006,-0.06760000000000004,-0.5200000000000001,-2.0
0.2700000000000001,-0.07290000000000003,-0.5400000000000001,-2.0
0.2800000000000001,-0.07840000000000004,-0.5600000000000002,-2.0
0.2900000000000001,-0.08410000000000005,-0.5800000000000002,-2.0
0.3000000000000001,-0.09000000000000007,-0.6000000000000002,-2.0
0.3100000000000001,-0.09610000000000007,-0.6200000000000002,-2.0
0.3200000000000001,-0.10240000000000007,-0.6400000000000002,-2.0
0.3300000000000001,-0.10890000000000008,-0.6600000000000003,-2.0
0.34000000000000014,-0.11560000000000009,-0.6800000000000003,-2.0
0.35000000000000014,-0.1225000000000001,-0.7000000000000003,-2.0
0.36000000000000015,-0.1296000000000001,-0.7200000000000003,-2.0
0.37000000000000016,-0.13690000000000013,-0.7400000000000003,-2.0
0.38000000000000017,-0.14440000000000014,-0.7600000000000003,-2.0
0.3900000000000002,-0.15210000000000015,-0.7800000000000004,-2.0
0.4000000000000002,-0.16000000000000014,-0.8000000000000004,-2.0
0.4100000000000002,-0.16810000000000017,-0.8200000000000004,-2.0
0.4200000000000002,-0.17640000000000017,-0.8400000000000004,-2.0
0.4300000000000002,-0.18490000000000018,-0.8600000000000004,-2.0
0.4400000000000002,-0.1936000000000002,-0.8800000000000004,-2.0
0.45000000000000023,-0.2025000000000002,-0.9000000000000005,-2.0
0.46000000000000024,-0.21160000000000023,-0.9200000000000005,-2.0
0.47000000000000025,-0.22090000000000024,-0.9400000000000005,-2.0
0.48000000000000026,-0.23040000000000024,-0.9600000000000005,-2.0
0.49000000000000027,-0.24010000000000026,-0.9800000000000005,-2.0
0.5000000000000002,-0.2500000000000002,-1.0000000000000004,-2.0
0.5100000000000002,-0.2601000000000002,-1.0200000000000005,-2.0
0.5200000000000002,-0.27040000000000025,-1.0400000000000005,-2.0
0.5300000000000002,-0.28090000000000026,-1.0600000000000005,-2.0
0.5400000000000003,-0.2916000000000003,-1.0800000000000005,-2.0
0.5500000000000003,-0.30250000000000027,-1.1000000000000005,-2.0
0.5600000000000003,-0.3136000000000003,-1.1200000000000006,-2.0
0.5700000000000003,-0.3249000000000003,-1.1400000000000006,-2.0
0.5800000000000003,-0.33640000000000037,-1.1600000000000006,-2.0
0.5900000000000003,-0.34810000000000035,-1.1800000000000006,-2.0
0.6000000000000003,-0.3600000000000004,-1.2000000000000006,-2.0
0.6100000000000003,-0.3721000000000004,-1.2200000000000006,-2.0
0.6200000000000003,-0.3844000000000004,-1.2400000000000007,-2.0
0.6300000000000003,-0.3969000000000004,-1.2600000000000007,-2.0
0.6400000000000003,-0.40960000000000046,-1.2800000000000007,-2.0
0.6500000000000004,-0.4225000000000005,-1.3000000000000007,-2.0
0.6600000000000004,-0.4356000000000005,-1.3200000000000007,-2.0
0.6700000000000004,-0.4489000000000005,-1.3400000000000007,-2.0
0.6800000000000004,-0.46240000000000053,-1.3600000000000008,-2.0
0.6900000000000004,-0.4761000000000005,-1.3800000000000008,-2.0
0.7000000000000004,-0.49000000000000055,-1.4000000000000008,-2.0
0.7100000000000004,-0.5041000000000005,-1.4200000000000008,-2.0
0.7200000000000004,-0.5184000000000006,-1.4400000000000008,-2.0
0.7300000000000004,-0.5329000000000006,-1.4600000000000009,-2.0
0.7400000000000004,-0.5476000000000006,-1.4800000000000009,-2.0
0.7500000000000004,-0.5625000000000007,-1.5000000000000009,-2.0
0.7600000000000005,-0.5776000000000007,-1.520000000000001,-2.0
0.7700000000000005,-0.5929000000000008,-1.540000000000001,-2.0
0.7800000000000005,-0.6084000000000007,-1.560000000000001,-2.0
0.7900000000000005,-0.6241000000000008,-1.580000000000001,-2.0
0.8000000000000005,-0.6400000000000008,-1.600000000000001,-2.0
0.8100000000000005,-0.6561000000000008,-1.620000000000001,-2.0
0.8200000000000005,-0.6724000000000008,-1.640000000000001,-2.0
0.8300000000000005,-0.6889000000000008,-1.660000000000001,-2.0
0.8400000000000005,-0.7056000000000009,-1.680000000000001,-2.0
0.8500000000000005,-0.7225000000000009,-1.700000000000001,-2.0
