t,Location,Velocity,Acceleration
0.0,0.0,0.0,11.5
0.002,2.3E-5,0.023,11.5
0.004,9.2E-5,0.046,11.5
0.006,2.0700000000000002E-4,0.069,11.5
0.008,3.68E-4,0.092,11.5
0.01,5.75E-4,0.115,11.5
0.012,8.280000000000001E-4,0.138,11.5
0.014,0.0011270000000000002,0.161,11.5
0.016,0.001472,0.184,11.5
0.018000000000000002,0.0018630000000000005,0.20700000000000002,11.5
0.020000000000000004,0.002300000000000001,0.23000000000000004,11.5
0.022000000000000006,0.0027830000000000016,0.25300000000000006,11.5
0.024000000000000007,0.003312000000000002,0.2760000000000001,11.5
0.02600000000000001,0.003887000000000003,0.2990000000000001,11.5
0.02800000000000001,0.004508000000000003,0.3220000000000001,11.5
0.030000000000000013,0.005175000000000004,0.34500000000000014,11.5
0.032000000000000015,0.005888000000000006,0.36800000000000016,11.5
0.034000000000000016,0.006647000000000007,0.3910000000000002,11.5
0.03600000000000002,0.007452000000000008,0.4140000000000002,11.5
0.03800000000000002,0.008303000000000008,0.4370000000000002,11.5
0.04000000000000002,0.00920000000000001,0.46000000000000024,11.5
0.04200000000000002,0.010143000000000011,0.48300000000000026,11.5
0.044000000000000025,0.011132000000000012,0.5060000000000003,11.5
0.04600000000000003,0.012167000000000015,0.5290000000000004,11.5
0.04800000000000003,0.013248000000000015,0.5520000000000004,11.5
0.05000000000000003,0.014375000000000018,0.5750000000000004,11.5
0.05200000000000003,0.015548000000000018,0.5980000000000004,11.5
0.054000000000000034,0.01676700000000002,0.6210000000000004,11.5
0.056000000000000036,0.01803200000000002,0.6440000000000005,11.5
0.05800000000000004,0.019343000000000027,0.6670000000000005,11.5
0.06000000000000004,0.020700000000000027,0.6900000000000005,11.5
0.06200000000000004,0.02210300000000003,0.7130000000000005,11.5
0.06400000000000004,0.023552000000000035,0.7360000000000005,11.5
0.06600000000000004,0.025047000000000035,0.7590000000000006,11.5
0.06800000000000005,0.02658800000000004,0.7820000000000006,11.5
0.07000000000000005,0.02817500000000004,0.8050000000000006,11.5
0.07200000000000005,0.029808000000000043,0.8280000000000006,11.5
0.07400000000000005,0.03148700000000004,0.8510000000000006,11.5
0.07600000000000005,0.03321200000000005,0.8740000000000007,11.5
0.07800000000000006,0.03498300000000005,0.8970000000000007,11.5
0.08000000000000006,0.036800000000000055,0.9200000000000007,11.5
0.08200000000000006,0.03866300000000005,0.9430000000000007,11.5
0.08400000000000006,0.04057200000000006,0.9660000000000007,11.5
0.08600000000000006,0.042527000000000065,0.9890000000000008,11.5
0.08800000000000006,0.04452800000000007,1.0120000000000007,11.5
0.09000000000000007,0.04657500000000007,1.0350000000000008,11.5
0.09200000000000007,0.04866800000000007,1.0580000000000007,11.5
0.09400000000000007,0.05080700000000007,1.0810000000000008,11.5
0.09600000000000007,0.05299200000000008,1.1040000000000008,11.5
0.09800000000000007,0.05522300000000008,1.127000000000001,11.5
0.10000000000000007,0.05750000000000009,1.1500000000000008,11.5
0.10200000000000008,0.05982300000000009,1.173000000000001,11.5
0.10400000000000008,0.062192000000000094,1.1960000000000008,11.5
0.10600000000000008,0.0646070000000001,1.219000000000001,11.5
0.10800000000000008,0.0670680000000001,1.2420000000000009,11.5
0.11000000000000008,0.06957500000000011,1.265000000000001,11.5
0.11200000000000009,0.07212800000000011,1.288000000000001,11.5
0.11400000000000009,0.07472700000000011,1.311000000000001,11.5
0.11600000000000009,0.07737200000000012,1.334000000000001,11.5
0.11800000000000009,0.08006300000000012,1.357000000000001,11.5
0.12000000000000009,0.08280000000000012,1.380000000000001,11.5
0.1220000000000001,0.08558300000000013,1.4030000000000011,11.5
0.1240000000000001,0.08841200000000013,1.426000000000001,11.5
0.12600000000000008,0.09128700000000013,1.449000000000001,11.5
0.12800000000000009,0.09420800000000014,1.472000000000001,11.5
0.1300000000000001,0.09717500000000014,1.495000000000001,11.5
0.1320000000000001,0.10017391304347839,1.5,0.0
0.1340000000000001,0.1031739130434784,1.5,0.0
0.1360000000000001,0.1061739130434784,1.5,0.0
0.1380000000000001,0.1091739130434784,1.5,0.0
0.1400000000000001,0.1121739130434784,1.5,0.0
0.1420000000000001,0.1151739130434784,1.5,0.0
0.1440000000000001,0.1181739130434784,1.5,0.0
0.1460000000000001,0.12117391304347841,1.5,0.0
0.1480000000000001,0.12417391304347841,1.5,0.0
0.1500000000000001,0.12717391304347841,1.5,0.0
0.1520000000000001,0.13017391304347842,1.5,0.0
0.1540000000000001,0.13317391304347842,1.5,0.0
0.1560000000000001,0.13617391304347842,1.5,0.0
0.1580000000000001,0.13917391304347843,1.5,0.0
0.16000000000000011,0.14217391304347843,1.5,0.0
0.16200000000000012,0.14517391304347843,1.5,0.0
0.16400000000000012,0.14817391304347843,1.5,0.0
0.16600000000000012,0.15117391304347844,1.5,0.0
0.16800000000000012,0.15417391304347844,1.5,0.0
0.17000000000000012,0.15717391304347844,1.5,0.0
0.17200000000000013,0.16017391304347844,1.5,0.0
0.17400000000000013,0.16317391304347845,1.5,0.0
0.17600000000000013,0.16617391304347845,1.5,0.0
0.17800000000000013,0.16917391304347845,1.5,0.0
0.18000000000000013,0.17217391304347845,1.5,0.0
0.18200000000000013,0.17517391304347846,1.5,0.0
0.18400000000000014,0.17817391304347846,1.5,0.0
0.18600000000000014,0.18117391304347846,1.5,0.0
0.18800000000000014,0.18417391304347847,1.5,0.0
0.19000000000000014,0.18717391304347847,1.5,0.0
0.19200000000000014,0.19017391304347847,1.5,0.0
0.19400000000000014,0.19317391304347847,1.5,0.0
