x,y
3.0,5.0
3.2340000000000004,4.887144
3.4559999999999995,4.788352
3.665999999999999,4.703287999999998
3.8640000000000003,4.631616000000001
4.050000000000001,4.573
4.224,4.5271040000000005
4.386,4.493592
4.536,4.472128
4.674,4.462376000000001
4.800000000000001,4.4639999999999995
4.914,4.4766639999999995
5.016,4.500031999999999
5.105999999999999,4.533767999999999
5.183999999999999,4.577535999999999
5.249999999999999,4.630999999999999
5.303999999999999,4.693823999999999
5.345999999999999,4.765672
5.3759999999999994,4.846207999999999
5.393999999999998,4.935096
5.399999999999999,5.032
5.393999999999998,5.136584
5.3759999999999994,5.248512
5.345999999999998,5.367448
5.3039999999999985,5.493056
5.25,5.625
5.183999999999999,5.762944000000001
5.105999999999999,5.906552000000001
5.015999999999999,6.055488
4.913999999999999,6.209416000000002
4.799999999999999,6.368000000000001
4.673999999999999,6.530904000000001
4.535999999999998,6.6977920000000015
4.3859999999999975,6.868328000000002
4.2239999999999975,7.042176000000003
4.049999999999997,7.219000000000003
3.8639999999999968,7.398464000000002
3.665999999999997,7.580232000000003
3.455999999999997,7.763968000000003
3.2339999999999955,7.949336000000003
2.9999999999999956,8.136000000000003
2.753999999999995,8.323624000000004
2.4959999999999947,8.511872000000004
2.225999999999994,8.700408000000005
1.9439999999999937,8.888896000000004
1.6499999999999932,9.077000000000005
1.3439999999999925,9.264384000000003
1.0259999999999918,9.450712000000006
0.6959999999999913,9.635648000000003
0.35399999999999066,9.818856000000007
-7.99360577730113E-15,10.0
