dt,x,y,position,startVelocity,acceleration,jerk,heading
0.020000,2.615302,2.356666,2.720000,2.000000,0.000000,0.000000,5.821780
0.020000,2.651063,2.338745,2.760000,2.000000,0.000000,0.000000,5.815461
0.020000,2.686710,2.320598,2.800000,2.000000,0.000000,0.000000,5.809164
0.020000,2.722242,2.302228,2.840000,2.000000,0.000000,0.000000,5.802890
0.020000,2.757658,2.283635,2.880000,2.000000,0.000000,0.000000,5.796638
0.020000,2.792958,2.264822,2.920000,2.000000,0.000000,0.000000,5.790410
0.020000,2.828140,2.245790,2.960000,2.000000,0.000000,0.000000,5.784206
0.020000,2.863203,2.226541,3.000000,2.000000,0.000000,0.000000,5.778026
0.020000,2.898147,2.207075,3.040000,2.000000,0.000000,0.000000,5.771873
0.020000,2.932971,2.187395,3.080000,2.000000,0.000000,0.000000,5.765744
0.020000,2.967674,2.167503,3.120000,2.000000,0.000000,0.000000,5.759643
0.020000,3.002255,2.147400,3.160000,2.000000,0.000000,0.000000,5.753568
0.020000,3.036714,2.127087,3.200000,2.000000,0.000000,0.000000,5.747521
0.020000,3.071049,2.106567,3.240000,2.000000,0.000000,0.000000,5.741502
0.020000,3.105261,2.085842,3.280000,2.000000,0.000000,0.000000,5.735512
0.020000,3.139348,2.064912,3.320000,2.000000,0.000000,0.000000,5.729550
0.020000,3.173310,2.043779,3.360000,2.000000,0.000000,0.000000,5.723618
0.020000,3.207147,2.022447,3.400000,2.000000,0.000000,0.000000,5.717715
0.020000,3.240857,2.000915,3.440000,2.000000,0.000000,0.000000,5.711843
0.020000,3.274441,1.979186,3.480000,2.000000,0.000000,0.000000,5.706002
0.020000,3.307897,1.957262,3.520000,2.000000,0.000000,0.000000,5.700191
0.020000,3.341226,1.935145,3.560000,2.000000,0.000000,0.000000,5.694412
0.020000,3.374427,1.912836,3.600000,2.000000,0.000000,0.000000,5.688664
0.020000,3.407499,1.890337,3.640000,2.000000,0.000000,0.000000,5.682949
0.020000,3.440443,1.867649,3.680000,2.000000,0.000000,0.000000,5.677265
0.020000,3.473257,1.844776,3.720000,2.000000,0.000000,0.000000,5.671615
0.020000,3.505942,1.821718,3.760000,2.000000,0.000000,0.000000,5.665997
0.020000,3.538498,1.798477,3.800000,2.000000,0.000000,0.000000,5.660412
0.020000,3.570924,1.775055,3.840000,2.000000,0.000000,0.000000,5.654861
0.020000,3.603219,1.751454,3.880000,2.000000,0.000000,0.000000,5.649343
0.020000,3.635384,1.727676,3.920000,2.000000,0.000000,0.000000,5.643859
0.020000,3.667419,1.703722,3.960000,2.000000,0.000000,0.000000,5.638409
0.020000,3.699323,1.679595,4.000000,2.000000,0.000000,0.000000,5.632993
0.020000,3.731096,1.655296,4.040000,2.000000,0.000000,0.000000,5.627612
0.020000,3.762739,1.630826,4.080000,2.000000,0.000000,0.000000,5.622265
0.020000,3.794250,1.606189,4.120000,2.000000,0.000000,0.000000,5.616952
0.020000,3.825631,1.581385,4.160000,2.000000,0.000000,0.000000,5.611674
0.020000,3.856881,1.556416,4.200000,2.000000,0.000000,0.000000,5.606431
0.020000,3.888000,1.531284,4.240000,2.000000,0.000000,0.000000,5.601223
0.020000,3.918988,1.505991,4.280000,2.000000,0.000000,0.000000,5.596050
0.020000,3.949845,1.480539,4.320000,2.000000,0.000000,0.000000,5.590911
0.020000,3.980572,1.454929,4.360000,2.000000,0.000000,0.000000,5.585808
0.020000,4.011167,1.429162,4.400000,2.000000,0.000000,0.000000,5.580740
0.020000,4.041633,1.403242,4.440000,2.000000,0.000000,0.000000,5.575707
0.020000,4.071968,1.377169,4.480000,2.000000,0.000000,0.000000,5.570710
0.020000,4.102172,1.350946,4.520000,2.000000,0.000000,0.000000,5.565747
0.020000,4.132247,1.324574,4.560000,2.000000,0.000000,0.000000,5.560820
0.020000,4.162192,1.298054,4.600000,2.000000,0.000000,0.000000,5.555927
0.020000,4.192007,1.271388,4.640000,2.000000,0.000000,0.000000,5.551070
0.020000,4.220377,1.245773,4.678222,1.822235,-8.888230,-444.411511,5.546461
0.020000,4.243545,1.224678,4.709556,1.311137,-25.554897,-833.333333,5.542707
0.020000,4.257965,1.211467,4.729112,0.644471,-33.333333,-388.921823,5.540375
0.020000,4.263855,1.206053,4.737113,0.155569,-24.445103,444.411511,5.539423
0.020000,4.265000,1.205000,4.738668,0.000000,-7.778436,833.333333,5.539238
0.020000,4.265000,1.205000,4.738668,0.000000,0.000000,388.921823,5.539238
